id,date,type,content,media_file
90000004,2026-02-06T04:37:23+00:00,text,炒完meme之后剩下的钱还能拿来直接开单,
90000005,2026-02-06T04:37:23+00:00,text,梭他妈的,
90000006,2026-02-06T04:37:23+00:00,text,拿meme炒大饼真牛逼,
90000007,2026-02-06T04:37:23+00:00,photo,我看到了,media/ff8e7c77a2c34b7eb9c98baca05f2c0a.jpg
90000008,2026-02-06T04:37:23+00:00,text,哥们又要迟到了,
90000001,2026-02-06T04:35:34+00:00,text,你听说superex最近新推出那个全币种合约吗,
90000003,2026-02-06T04:35:34+00:00,text,那个是真牛逼,
90000004,2026-02-06T04:35:34+00:00,text,炒完meme之后剩下的钱还能拿来直接开单,
90000005,2026-02-06T04:35:34+00:00,text,梭他妈的,
90000006,2026-02-06T04:35:34+00:00,text,拿meme炒大饼真牛逼,
90000007,2026-02-06T04:35:34+00:00,photo,我看到了,media/ff8e7c77a2c34b7eb9c98baca05f2c0a.jpg
90000008,2026-02-06T04:35:34+00:00,text,哥们又要迟到了,
25745495,2026-01-26T01:10:49+00:00,text,😅这叽霸大饼，刚刚好把止损刷掉就涨,
25745496,2026-01-26T01:10:50+00:00,text,2000u了,
25745499,2026-01-26T01:11:30+00:00,text,我感觉2880就跑,
25745500,2026-01-26T01:11:42+00:00,text,十二 可以先给吗,
25745503,2026-01-26T01:11:53+00:00,text,我请教你们一个问题,
25745504,2026-01-26T01:12:06+00:00,text,可以给我解答一下不,
25745507,2026-01-26T01:12:13+00:00,text,张又侠可以拿着宪法去上访吗？,
25745508,2026-01-26T01:12:28+00:00,text,谁有火箭逃跑的渠道联系我,
25745510,2026-01-26T01:12:42+00:00,text,张豪 划转到合约账户加仓,
25745518,2026-01-26T01:13:20+00:00,text,麻吉爆仓，全不爆光,
25745519,2026-01-26T01:13:32+00:00,text,8000见,
25745520,2026-01-26T01:13:38+00:00,text,真牛逼,
25745521,2026-01-26T01:13:44+00:00,text,兄弟们,
25745522,2026-01-26T01:13:48+00:00,text,空他,
25745523,2026-01-26T01:13:53+00:00,text,半夜开的多，现在还在抗单,
25745525,2026-01-26T01:13:55+00:00,text,没事，他还有钱,
25745530,2026-01-26T01:14:24+00:00,text,2954空了40个eth 也吃到了,
25745531,2026-01-26T01:14:29+00:00,text,黄金要跌,
25745533,2026-01-26T01:14:40+00:00,text,大B?,
25745534,2026-01-26T01:14:47+00:00,text,睡觉睡觉起来3000了,
25745539,2026-01-26T01:15:58+00:00,text,呼叫空军速速砸盘🤓,
25745542,2026-01-26T01:16:36+00:00,text,睡觉起来2500,
25745546,2026-01-26T01:17:38+00:00,text,跟上去，做多兄弟们，做市商都给你铺路了,
25745548,2026-01-26T01:17:52+00:00,text,跟上去，做多兄弟们，做市商都给你铺路了,
25745549,2026-01-26T01:18:06+00:00,text,多起来,
25745550,2026-01-26T01:18:13+00:00,text,跟上去，做多兄弟们，做市商都给你铺路了,
25745551,2026-01-26T01:18:41+00:00,text,信号明确多起来,
25745553,2026-01-26T01:19:14+00:00,text,真香,
25745555,2026-01-26T01:19:30+00:00,text,就是开仓的人有点少，拉不动,
25745557,2026-01-26T01:19:57+00:00,text,把高杠杆的都爆完了,
25745566,2026-01-26T01:21:33+00:00,text,赌徒都爆完了，那就盯着成交量开仓就行,
25745567,2026-01-26T01:22:30+00:00,text,牛回,
25745584,2026-01-26T01:26:45+00:00,text,我先不喊了，反弹起来，大家艾特我一下，我去吃火锅了,
25745589,2026-01-26T01:27:57+00:00,text,牛不了，顶多破10,
